"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"1","abdo",1,0,0,0,0,0,0,0,0,1,1,0,0
"2","abduco1",1,0,0,0,0,0,0,0,0,1,1,0,0
"3","abeo",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"4","abeo1",16,1,0.0625,0,0,0,0,1,0.0625,12,0.75,2,0.125
"5","aberro1",1,0,0,0,0,0,0,0,0,1,1,0,0
"6","abhorreo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"7","abicio",1,0,0,0,0,0,0,0,0,1,1,0,0
"8","abicio1",2,0,0,0,0,0,0,0,0,2,1,0,0
"9","abigo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"10","abito1",1,0,0,0,0,1,1,0,0,0,0,0,0
"11","abjuro1",1,0,0,0,0,0,0,0,0,1,1,0,0
"12","abnuo",1,1,1,0,0,0,0,0,0,0,0,0,0
"13","aboleo",1,0,0,0,0,0,0,0,0,1,1,0,0
"14","abrumpo",1,0,0,0,0,0,0,0,0,1,1,0,0
"15","abscondo1",3,0,0,0,0,0,0,1,0.3333,1,0.3333,1,0.3333
"16","absisto",1,0,0,0,0,0,0,1,1,0,0,0,0
"17","absisto1",1,0,0,0,0,0,0,1,1,0,0,0,0
"18","absolvo",1,1,1,0,0,0,0,0,0,0,0,0,0
"19","absolvo1",2,2,1,0,0,0,0,0,0,0,0,0,0
"20","absorbeo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"21","abstergeo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"22","abstineo",1,0,0,0,0,0,0,0,0,1,1,0,0
"23","abstraho1",2,0,0,0,0,0,0,0,0,2,1,0,0
"24","abstulo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"25","absum",8,0,0,0,0,1,0.125,0,0,6,0.75,1,0.125
"26","absum1",5,0,0,0,0,0,0,0,0,4,0.8,1,0.2
"27","absumo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"28","abundo",1,0,0,0,0,0,0,0,0,1,1,0,0
"29","abutor",1,0,0,0,0,1,1,0,0,0,0,0,0
"30","accedo",5,1,0.2,0,0,0,0,0,0,4,0.8,0,0
"31","accedo1",10,1,0.1,1,0.1,1,0.1,0,0,5,0.5,2,0.2
"32","accendo2",6,0,0,0,0,0,0,0,0,5,0.8333,1,0.1667
"33","accido1",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"34","accido2",1,0,0,0,0,0,0,0,0,1,1,0,0
"35","accingo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"36","accipio",18,3,0.1667,1,0.0556,2,0.1111,1,0.0556,7,0.3889,4,0.2222
"37","accipio1",45,7,0.1556,1,0.0222,6,0.1333,1,0.0222,23,0.5111,7,0.1556
"38","accommodo",2,0,0,0,0,0,0,0,0,2,1,0,0
"39","accumbo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"40","accurro1",1,0,0,0,0,0,0,0,0,1,1,0,0
"41","accuso1",2,0,0,0,0,0,0,0,0,2,1,0,0
"42","acquiro",1,0,0,0,0,0,0,0,0,1,1,0,0
"43","acuo",1,0,0,0,0,0,0,0,0,1,1,0,0
"44","ad-lego2",1,0,0,0,0,0,0,0,0,1,1,0,0
"45","ad-signo",2,2,1,0,0,0,0,0,0,0,0,0,0
"46","adaequo",1,0,0,0,0,0,0,0,0,1,1,0,0
"47","adcedo",1,0,0,0,0,0,0,0,0,1,1,0,0
"48","adcognosco",1,1,1,0,0,0,0,0,0,0,0,0,0
"49","addico",1,0,0,0,0,0,0,0,0,1,1,0,0
"50","addo",6,0,0,0,0,0,0,0,0,6,1,0,0
"51","addo1",4,0,0,0,0,1,0.25,0,0,3,0.75,0,0
"52","adduco1",4,2,0.5,0,0,0,0,0,0,2,0.5,0,0
"53","adeo1",12,1,0.0833,0,0,0,0,0,0,8,0.6667,3,0.25
"54","adhaereo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"55","adhibeo1",1,0,0,0,0,0,0,1,1,0,0,0,0
"56","adicio",1,0,0,0,0,0,0,0,0,1,1,0,0
"57","adicio1",1,0,0,0,0,0,0,0,0,0,0,1,1
"58","adigo",1,0,0,0,0,0,0,0,0,1,1,0,0
"59","adigo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"60","adimo",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"61","adipiscor",1,0,0,0,0,0,0,0,0,1,1,0,0
"62","adiuto1",1,0,0,0,0,1,1,0,0,0,0,0,0
"63","adjicio",3,1,0.3333,0,0,0,0,0,0,2,0.6667,0,0
"64","adjicio1",6,0,0,0,0,0,0,0,0,6,1,0,0
"65","adjudico",1,0,0,0,0,0,0,0,0,1,1,0,0
"66","adjuro1",1,0,0,0,0,0,0,0,0,1,1,0,0
"67","adjuvo",2,0,0,0,0,0,0,0,0,2,1,0,0
"68","adjuvo1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"69","administro",5,1,0.2,0,0,0,0,0,0,4,0.8,0,0
"70","admitto",1,0,0,0,0,0,0,0,0,1,1,0,0
"71","admitto1",1,0,0,0,0,1,1,0,0,0,0,0,0
"72","admoneo",3,0,0,0,0,0,0,0,0,3,1,0,0
"73","admoneo1",3,0,0,0,0,0,0,0,0,3,1,0,0
"74","admoveo",2,0,0,0,0,0,0,0,0,2,1,0,0
"75","admoveo1",3,0,0,0,0,0,0,0,0,3,1,0,0
"76","adnato",1,0,0,0,0,0,0,0,0,0,0,1,1
"77","adoleo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"78","adolesco",1,0,0,0,0,0,0,0,0,0,0,1,1
"79","adolesco1",1,0,0,0,0,0,0,0,0,1,1,0,0
"80","adopto",1,1,1,0,0,0,0,0,0,0,0,0,0
"81","adorno",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"82","adoro1",24,3,0.125,0,0,2,0.0833,1,0.0417,1,0.0417,17,0.7083
"83","adpeto1",1,0,0,0,0,0,0,0,0,1,1,0,0
"84","adprehendo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"85","adrego1",1,0,0,0,0,0,0,0,0,1,1,0,0
"86","adsedeo1",3,0,0,0,0,1,0.3333,0,0,2,0.6667,0,0
"87","adsentio1",1,0,0,0,0,0,0,0,0,0,0,1,1
"88","adservo1",1,1,1,0,0,0,0,0,0,0,0,0,0
"89","adspiro",1,0,0,0,0,0,0,1,1,0,0,0,0
"90","adsum",3,0,0,0,0,0,0,0,0,3,1,0,0
"91","adsum1",6,1,0.1667,0,0,1,0.1667,0,0,3,0.5,1,0.1667
"92","aduro1",1,0,0,0,0,0,0,0,0,1,1,0,0
"93","advenio",1,0,0,0,0,0,0,0,0,1,1,0,0
"94","advenio1",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"95","advento1",1,0,0,0,0,0,0,0,0,1,1,0,0
"96","adverto",1,0,0,0,0,0,0,0,0,1,1,0,0
"97","advoco",1,0,0,0,0,0,0,0,0,1,1,0,0
"98","advoco1",2,1,0.5,0,0,0,0,0,0,1,0.5,0,0
"99","advolo",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"100","advolvo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"101","aedifico1",6,3,0.5,0,0,1,0.1667,0,0,0,0,2,0.3333
"102","aequo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"103","aestimo",2,1,0.5,0,0,0,0,0,0,1,0.5,0,0
"104","aestimo1",4,3,0.75,0,0,0,0,0,0,0,0,1,0.25
"105","aestuo1",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"106","affero",5,0,0,0,0,0,0,0,0,2,0.4,3,0.6
"107","affero1",16,2,0.125,0,0,1,0.0625,0,0,8,0.5,5,0.3125
"108","afficio",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"109","affirmo",3,0,0,0,0,0,0,0,0,3,1,0,0
"110","affirmo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"111","afflicto1",1,0,0,0,0,0,0,0,0,0,0,1,1
"112","affligo",1,0,0,0,0,0,0,0,0,0,0,1,1
"113","afflo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"114","affluo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"115","affor1",1,0,0,0,0,0,0,0,0,1,1,0,0
"116","aggravo",1,0,0,0,0,0,0,0,0,0,0,1,1
"117","aggredior",2,1,0.5,0,0,0,0,0,0,0,0,1,0.5
"118","aggredior1",4,0,0,1,0.25,0,0,1,0.25,2,0.5,0,0
"119","aggrego",1,0,0,0,0,0,0,0,0,1,1,0,0
"120","agino1",1,1,1,0,0,0,0,0,0,0,0,0,0
"121","agito",1,0,0,0,0,0,0,0,0,1,1,0,0
"122","agito1",8,1,0.125,1,0.125,0,0,0,0,3,0.375,3,0.375
"123","agnosco",1,0,0,0,0,0,0,0,0,1,1,0,0
"124","agnosco1",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"125","ago",22,4,0.1818,0,0,6,0.2727,0,0,9,0.4091,3,0.1364
"126","ago1",42,7,0.1667,2,0.0476,9,0.2143,2,0.0476,14,0.3333,8,0.1905
"127","aio",13,0,0,0,0,0,0,0,0,13,1,0,0
"128","aio1",27,0,0,0,0,0,0,0,0,21,0.7778,6,0.2222
"129","ait",1,0,0,0,0,0,0,0,0,1,1,0,0
"130","allabor",1,0,0,0,0,0,0,0,0,1,1,0,0
"131","allego1",1,0,0,0,0,0,0,0,0,1,1,0,0
"132","allego2",2,0,0,0,0,0,0,0,0,2,1,0,0
"133","allicio",1,0,0,0,0,0,0,0,0,1,1,0,0
"134","alligo",1,0,0,0,0,0,0,0,0,0,0,1,1
"135","alligo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"136","alloquor",1,1,1,0,0,0,0,0,0,0,0,0,0
"137","alludo",1,0,0,0,0,0,0,0,0,1,1,0,0
"138","alo",1,0,0,0,0,0,0,0,0,0,0,1,1
"139","alo1",5,0,0,0,0,0,0,0,0,3,0.6,2,0.4
"140","ambio",1,0,0,0,0,0,0,0,0,0,0,1,1
"141","ambulo1",7,2,0.2857,1,0.1429,0,0,0,0,2,0.2857,2,0.2857
"142","amicio,",1,0,0,1,1,0,0,0,0,0,0,0,0
"143","amitto",6,1,0.1667,0,0,0,0,0,0,5,0.8333,0,0
"144","amitto1",4,0,0,1,0.25,0,0,1,0.25,2,0.5,0,0
"145","amo",3,0,0,0,0,0,0,0,0,0,0,3,1
"146","amo1",13,2,0.1538,0,0,1,0.0769,0,0,10,0.7692,0,0
"147","amolior",1,0,0,0,0,0,0,0,0,1,1,0,0
"148","amplecto",1,0,0,0,0,0,0,0,0,1,1,0,0
"149","amplexor1",1,0,0,0,0,0,0,1,1,0,0,0,0
"150","amplio",2,0,0,0,0,0,0,0,0,2,1,0,0
"151","amputo",1,0,0,0,0,0,0,0,0,1,1,0,0
"152","ango",1,0,0,0,0,0,0,0,0,1,1,0,0
"153","animadverto",3,0,0,0,0,0,0,0,0,3,1,0,0
"154","animadverto1",6,1,0.1667,0,0,1,0.1667,0,0,3,0.5,1,0.1667
"155","annuo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"156","antecedo",1,0,0,0,0,0,0,0,0,1,1,0,0
"157","aperio1",23,2,0.087,0,0,0,0,1,0.0435,19,0.8261,1,0.0435
"158","apoculo",1,1,1,0,0,0,0,0,0,0,0,0,0
"159","apoculo1",1,0,0,1,1,0,0,0,0,0,0,0,0
"160","appareo",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"161","appareo1",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"162","appello",6,0,0,0,0,0,0,0,0,5,0.8333,1,0.1667
"163","appello1",11,1,0.0909,0,0,0,0,0,0,9,0.8182,1,0.0909
"164","appello2",1,0,0,0,0,0,0,0,0,1,1,0,0
"165","appeto",1,0,0,0,0,0,0,0,0,1,1,0,0
"166","appeto1",1,0,0,0,0,0,0,0,0,0,0,1,1
"167","applico1",1,0,0,0,0,0,0,0,0,1,1,0,0
"168","appono1",2,0,0,0,0,0,0,0,0,2,1,0,0
"169","approbo",3,0,0,0,0,0,0,0,0,2,0.6667,1,0.3333
"170","approbo1",2,1,0.5,0,0,0,0,0,0,1,0.5,0,0
"171","appropinquo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"172","arbitror",5,1,0.2,0,0,2,0.4,0,0,1,0.2,1,0.2
"173","arceo1",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"174","arcesso1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"175","ardeo1",3,0,0,0,0,0,0,0,0,1,0.3333,2,0.6667
"176","ardesco1",1,0,0,0,0,0,0,0,0,1,1,0,0
"177","areo",1,0,0,0,0,0,0,0,0,1,1,0,0
"178","arguo",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"179","arguo1",1,1,1,0,0,0,0,0,0,0,0,0,0
"180","arguto1",3,0,0,0,0,1,0.3333,0,0,2,0.6667,0,0
"181","armo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"182","aro1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"183","arripio1",1,0,0,0,0,0,0,0,0,1,1,0,0
"184","aruo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"185","ascendo1",10,0,0,0,0,2,0.2,1,0.1,5,0.5,2,0.2
"186","ascisco1",1,0,0,0,0,0,0,0,0,1,1,0,0
"187","ascribo",1,0,0,0,0,0,0,0,0,0,0,1,1
"188","aspernor1",1,0,0,0,0,0,0,0,0,1,1,0,0
"189","aspicio",2,0,0,0,0,0,0,0,0,2,1,0,0
"190","aspicio1",5,0,0,0,0,4,0.8,0,0,1,0.2,0,0
"191","assentor1",1,0,0,1,1,0,0,0,0,0,0,0,0
"192","assequor",2,1,0.5,0,0,1,0.5,0,0,0,0,0,0
"193","assequor1",1,0,0,0,0,0,0,0,0,1,1,0,0
"194","assero2",3,0,0,0,0,2,0.6667,0,0,1,0.3333,0,0
"195","assevero",1,0,0,0,0,0,0,0,0,1,1,0,0
"196","assigno",3,0,0,0,0,0,0,0,0,3,1,0,0
"197","assilio",1,0,0,0,0,0,0,0,0,1,1,0,0
"198","assisto1",1,0,0,0,0,0,0,0,0,1,1,0,0
"199","assuesco",4,0,0,0,0,1,0.25,0,0,2,0.5,1,0.25
"200","assumo",2,0,0,0,0,0,0,0,0,2,1,0,0
"201","asto1",1,0,0,0,0,0,0,0,0,1,1,0,0
"202","astringo",1,0,0,0,0,0,0,0,0,1,1,0,0
"203","asum",3,0,0,0,0,0,0,0,0,3,1,0,0
"204","attendo",1,0,0,0,0,1,1,0,0,0,0,0,0
"205","attendo1",1,0,0,0,0,1,1,0,0,0,0,0,0
"206","attero1",1,0,0,0,0,0,0,0,0,1,1,0,0
"207","attestor",1,0,0,0,0,0,0,0,0,1,1,0,0
"208","attigo",1,0,0,0,0,0,0,0,0,1,1,0,0
"209","attigo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"210","attineo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"211","attingo",1,0,0,0,0,0,0,0,0,1,1,0,0
"212","attingo1",2,0,0,0,0,0,0,0,0,0,0,2,1
"213","audeo",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"214","audeo1",4,1,0.25,0,0,1,0.25,0,0,1,0.25,1,0.25
"215","audio",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"216","audio1",57,33,0.5789,1,0.0175,2,0.0351,3,0.0526,16,0.2807,2,0.0351
"217","aufero",6,0,0,0,0,2,0.3333,0,0,4,0.6667,0,0
"218","aufero1",6,0,0,0,0,0,0,0,0,5,0.8333,1,0.1667
"219","augeo",5,2,0.4,0,0,0,0,0,0,2,0.4,1,0.2
"220","augeo1",3,0,0,0,0,0,0,0,0,3,1,0,0
"221","aveo2",1,0,0,0,0,1,1,0,0,0,0,0,0
"222","aversor1",1,0,0,0,0,1,1,0,0,0,0,0,0
"223","averto1",1,0,0,0,0,1,1,0,0,0,0,0,0
"224","avoco",1,0,0,0,0,0,0,0,0,1,1,0,0
"225","bacchor",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"226","basio1",5,1,0.2,0,0,0,0,0,0,3,0.6,1,0.2
"227","bibo1",8,0,0,1,0.125,1,0.125,0,0,3,0.375,3,0.375
"228","blasphemo1",4,0,0,0,0,1,0.25,0,0,0,0,3,0.75
